ResponseDate,CompletionDate,Q1_Property,Q2_PropType,Q3_CityContact,Agreement_City staff treated me fairly and with respect.,Agreement_City staff were knowledgeable.,Agreement_City staff exceeded my expectations.,Agreement_City staff were responsive.,Agreement_I was able to get service without difficulty.,Agreement_I received a response to my inquiry in a timely manner.,Agreement_The response I received provided me with the information I required.,"Agreement_Overall, I was satisfied with the quality of customer service I received.",Timely,Timely_Other (please specify),Experience,Who,Q4_PropNotice,Q5_CommsAgreement_The City’s assessment team provides a valuable public service,Q5_CommsAgreement_The City’s assessment team does a good job assigning property values,Q5_CommsAgreement_The City’s assessment team is a good resource for property information,Q5_CommsAgreement_Property assessment notice is easy to understand,Q5_CommsAgreement_Property assessment notice clearly describes how to file a formal complaint or request a review,Q5_CommsAgreement_Property assessment notice clearly states how to contact the City,Q5_CommsAgreement_Property assessment notice provides all the information required,Q5_CommsAgreement_The assessed value of my property is fair,Q5_CommsAgreement_The assessed value of my property is accurate,Q5_CommsAgreement_The use of sale prices of similar properties to estimate property values is fair,"Q5_CommsAgreement_Overall, I’m satisfied with access to property assessment information",Q7_Online,Q8_OnlineAgreement_It was easy to find information on Edmonton.ca/assessment,Q8_OnlineAgreement_Edmonton.ca/assessment had the information I needed,Q8_OnlineAgreement_Edmonton.ca/assessment is easy to use,Q8_OnlineAgreement_Edmonton.ca/assessment is useful to me,Q10_Contact_Phone,Q10_Contact_Email,Q10_Contact_Text message,Q10_Contact_In person,Q10_Contact_Mail,Q10_Contact_Online service,OSType,DeviceType,BrowserType,Q3_Own_Rent (Source: Profiling Questionnaire 2014),GENDER (Source: Profiling Questionnaire 2014),Q7_Children (Source: Profiling Questionnaire 2014),Q8_Born_Canada (Source: Profiling Questionnaire 2014),Q9a_Edmonton (Source: Profiling Questionnaire 2014),Q10_Own_Business (Source: Profiling Questionnaire 2014),Q11_Home_Language (Source: Profiling Questionnaire 2014),Q13_Volunteer (Source: Profiling Questionnaire 2014),Q14a_Primary_Transportation (Source: Profiling Questionnaire 2014),Q14b_Secondary_Transportation (Source: Profiling Questionnaire 2014),Q15_Household_Income (Source: Profiling Questionnaire 2014),Q16_Education (Source: Profiling Questionnaire 2014),Q17_City_Employee (Source: Profiling Questionnaire 2014),FSA (Source: Profiling Questionnaire 2014),Age_Rollup_Detailed (Source: Profiling Questionnaire 2014)
01/09/2018 07:04:00 PM,01/09/2018 07:08:00 PM,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Windows,Desktop,Google Chrome,Rent,Female,No,Yes,Greater than 5 years,No,English,Yes,Walk,Car/truck/Van as DRIVER,"$50,000 to $59,999",Post-graduate degree,No,T5K,35-39
01/10/2018 09:16:00 PM,01/10/2018 09:20:00 PM,Yes,Residential property,I haven’t contacted the City,,,,,,,,,,,,,Yes,4 Somewhat agree,4 Somewhat agree,4 Somewhat agree,4 Somewhat agree,4 Somewhat agree,4 Somewhat agree,4 Somewhat agree,4 Somewhat agree,4 Somewhat agree,4 Somewhat agree,4 Somewhat agree,No,,,,,1,0,0,0,0,1,Windows,Desktop,Google Chrome,Own,Female,No,Yes,Greater than 5 years,No,English,Yes,Car/truck/Van as DRIVER,Public Transit,"$100,000 to $149,000",University undergraduate degree,No,T5H,30-34
01/09/2018 09:32:00 PM,01/09/2018 10:06:00 PM,Yes,Residential property,Within the last three years,5 Strongly agree,Does not apply,Does not apply,5 Strongly agree,5 Strongly agree,5 Strongly agree,5 Strongly agree,5 Strongly agree,,,Positive,311,Yes,4 Somewhat agree,3 Neither agree nor disagree,3 Neither agree nor disagree,3 Neither agree nor disagree,3 Neither agree nor disagree,4 Somewhat agree,4 Somewhat agree,3 Neither agree nor disagree,2 Somewhat disagree,3 Neither agree nor disagree,3 Neither agree nor disagree,No,,,,,1,0,0,0,0,1,Windows,Desktop,Google Chrome,Rent,Female,No,Yes,Greater than 5 years,No,English,No,Car/truck/van as PASSENGER,Car/truck/Van as DRIVER,"$60,000 to $79,999",College / technical school graduate,No,T6H,35-39
01/11/2018 03:41:00 AM,01/11/2018 03:59:00 AM,Yes,Residential property,Within the last three years,5 Strongly agree,5 Strongly agree,5 Strongly agree,5 Strongly agree,5 Strongly agree,4 Somewhat agree,4 Somewhat agree,5 Strongly agree,,,Positive,City assessor,Yes,4 Somewhat agree,4 Somewhat agree,3 Neither agree nor disagree,3 Neither agree nor disagree,5 Strongly agree,5 Strongly agree,3 Neither agree nor disagree,4 Somewhat agree,3 Neither agree nor disagree,4 Somewhat agree,4 Somewhat agree,No,,,,,0,0,0,0,0,1,Windows,Desktop,Google Chrome,Own,Male,Yes,Yes,Greater than 5 years,Yes,English,Yes,Car/truck/Van as DRIVER,Only have one mode of transportation,"$150,000 and over",Post-graduate degree,No,T6W,45-49
01/10/2018 05:02:00 PM,01/10/2018 09:30:00 PM,Yes,Residential property,I haven’t contacted the City,,,,,,,,,,,,,Yes,Doesn't apply,4 Somewhat agree,Doesn't apply,5 Strongly agree,5 Strongly agree,5 Strongly agree,5 Strongly agree,5 Strongly agree,4 Somewhat agree,4 Somewhat agree,5 Strongly agree,No,,,,,1,0,0,0,0,0,Windows,Desktop,Google Chrome,Own,Female,Yes,Yes,Greater than 5 years,Yes,English,Yes,Car/truck/Van as DRIVER,Only have one mode of transportation,"$80,000 to $99,999",High school graduate,,T6K,40-44
01/13/2018 07:58:00 AM,01/13/2018 08:04:00 AM,Yes,Residential property,I haven’t contacted the City,,,,,,,,,,,,,Yes,3 Neither agree nor disagree,3 Neither agree nor disagree,3 Neither agree nor disagree,2 Somewhat disagree,3 Neither agree nor disagree,3 Neither agree nor disagree,3 Neither agree nor disagree,2 Somewhat disagree,3 Neither agree nor disagree,2 Somewhat disagree,3 Neither agree nor disagree,No,,,,,0,1,0,0,0,0,iOS,Tablet,Safari,Own,Female,No,Yes,Between 3 to 5 years,No,English,Yes,Car/truck/Van as DRIVER,Only have one mode of transportation,Prefer not to answer,University undergraduate degree,,T6J,35-39
01/15/2018 02:18:00 AM,01/15/2018 02:29:00 AM,Yes,Residential property,I haven’t contacted the City,,,,,,,,,,,,,Yes,3 Neither agree nor disagree,3 Neither agree nor disagree,3 Neither agree nor disagree,4 Somewhat agree,4 Somewhat agree,3 Neither agree nor disagree,4 Somewhat agree,4 Somewhat agree,3 Neither agree nor disagree,2 Somewhat disagree,4 Somewhat agree,No,,,,,0,1,0,0,0,0,Windows,Desktop,Firefox,Own,Female,No,Yes,Greater than 5 years,No,English,Yes,Car/truck/van as PASSENGER,Car/truck/Van as DRIVER,Prefer not to answer,University undergraduate degree,,T5E,65-69
01/10/2018 01:31:00 AM,01/10/2018 01:41:00 AM,Yes,Residential property,I haven’t contacted the City,,,,,,,,,,,,,Yes,3 Neither agree nor disagree,3 Neither agree nor disagree,3 Neither agree nor disagree,3 Neither agree nor disagree,4 Somewhat agree,4 Somewhat agree,4 Somewhat agree,3 Neither agree nor disagree,3 Neither agree nor disagree,3 Neither agree nor disagree,3 Neither agree nor disagree,No,,,,,0,0,0,0,1,1,Windows,Desktop,Google Chrome,Own,Female,Yes,Yes,Greater than 5 years,No,English,Yes,Car/truck/Van as DRIVER,Only have one mode of transportation,"$20,000 to $29,999",High school graduate,,T6W,45-49
01/09/2018 07:56:00 PM,01/09/2018 08:14:00 PM,Yes,Residential property,I haven’t contacted the City,,,,,,,,,,,,,Yes,4 Somewhat agree,3 Neither agree nor disagree,3 Neither agree nor disagree,5 Strongly agree,5 Strongly agree,5 Strongly agree,5 Strongly agree,3 Neither agree nor disagree,3 Neither agree nor disagree,3 Neither agree nor disagree,4 Somewhat agree,No,,,,,0,1,0,0,0,0,Android,Tablet,Google Chrome,Own,Male,No,Yes,Greater than 5 years,No,English,No,Car/truck/Van as DRIVER,Car/truck/Van as DRIVER,"$100,000 to $149,000",College / technical school graduate,No,T5A,60-64
01/09/2018 07:04:00 PM,01/09/2018 08:39:00 PM,Yes,Residential property,Within the last three years,5 Strongly agree,4 Somewhat agree,3 Neither agree nor disagree,4 Somewhat agree,4 Somewhat agree,4 Somewhat agree,4 Somewhat agree,4 Somewhat agree,,,Positive,City assessor,Yes,4 Somewhat agree,3 Neither agree nor disagree,3 Neither agree nor disagree,4 Somewhat agree,4 Somewhat agree,4 Somewhat agree,2 Somewhat disagree,3 Neither agree nor disagree,3 Neither agree nor disagree,3 Neither agree nor disagree,3 Neither agree nor disagree,Yes,2 Somewhat disagree,2 Somewhat disagree,2 Somewhat disagree,3 Neither agree nor disagree,1,0,0,0,0,1,Windows,Desktop,Google Chrome,Own,Male,No,Yes,Greater than 5 years,Yes,English,Yes,Public Transit,Car/truck/Van as DRIVER,Prefer not to answer,University undergraduate degree,Yes,T6M,35-39
01/09/2018 11:51:00 PM,01/10/2018 12:21:00 AM,Yes,Residential property,I haven’t contacted the City,,,,,,,,,,,,,Yes,3 Neither agree nor disagree,3 Neither agree nor disagree,3 Neither agree nor disagree,4 Somewhat agree,4 Somewhat agree,4 Somewhat agree,4 Somewhat agree,3 Neither agree nor disagree,3 Neither agree nor disagree,3 Neither agree nor disagree,4 Somewhat agree,No,,,,,0,0,0,0,0,1,iOS,Tablet,Safari,Own,Female,No,No,Greater than 5 years,No,English,Yes,Car/truck/Van as DRIVER,Public Transit,"$150,000 and over",University undergraduate degree,,T6J,70-74
01/15/2018 08:00:00 PM,01/15/2018 08:16:00 PM,Yes,Residential property,Within the last year,5 Strongly agree,5 Strongly agree,4 Somewhat agree,4 Somewhat agree,4 Somewhat agree,4 Somewhat agree,4 Somewhat agree,5 Strongly agree,,,Positive,311,Yes,4 Somewhat agree,4 Somewhat agree,3 Neither agree nor disagree,5 Strongly agree,5 Strongly agree,5 Strongly agree,5 Strongly agree,3 Neither agree nor disagree,2 Somewhat disagree,1 Strongly disagree,4 Somewhat agree,No,,,,,1,1,1,0,0,1,Unknown,Desktop,Google Chrome,Own,Female,No,Yes,Greater than 5 years,No,English,Yes,Car/truck/Van as DRIVER,Car/truck/van as PASSENGER,"$80,000 to $99,999",University undergraduate degree,Yes,T5S,25-29
01/10/2018 09:55:00 PM,01/10/2018 10:30:00 PM,Yes,Residential property,I haven’t contacted the City,,,,,,,,,,,,,No,,,,,,,,,,,,No,,,,,1,0,0,0,0,0,Windows,Desktop,Google Chrome,Own,Male,No,Yes,Greater than 5 years,No,English,Yes,Car/truck/Van as DRIVER,Walk,"$60,000 to $79,999",University undergraduate degree,No,T6T,30-34
01/16/2018 06:39:00 PM,01/16/2018 06:55:00 PM,Yes,Residential property,Within the last year,3 Neither agree nor disagree,2 Somewhat disagree,2 Somewhat disagree,2 Somewhat disagree,2 Somewhat disagree,2 Somewhat disagree,2 Somewhat disagree,2 Somewhat disagree,Immediately while on the phone,,Negative,I don’t know,Yes,3 Neither agree nor disagree,2 Somewhat disagree,2 Somewhat disagree,3 Neither agree nor disagree,3 Neither agree nor disagree,3 Neither agree nor disagree,3 Neither agree nor disagree,2 Somewhat disagree,2 Somewhat disagree,1 Strongly disagree,2 Somewhat disagree,No,,,,,1,0,0,0,0,0,Linux,Desktop,Firefox,Own,Female,Yes,Yes,Greater than 5 years,No,English,Yes,Car/truck/Van as DRIVER,Other (Specify),Prefer not to answer,College / technical school graduate,No,T5N,55-59
01/09/2018 09:29:00 PM,01/09/2018 09:39:00 PM,Yes,Residential property,I haven’t contacted the City,,,,,,,,,,,,,Yes,4 Somewhat agree,4 Somewhat agree,3 Neither agree nor disagree,5 Strongly agree,4 Somewhat agree,5 Strongly agree,5 Strongly agree,4 Somewhat agree,4 Somewhat agree,4 Somewhat agree,4 Somewhat agree,Yes,3 Neither agree nor disagree,3 Neither agree nor disagree,3 Neither agree nor disagree,3 Neither agree nor disagree,1,1,0,0,0,0,Windows,Desktop,Google Chrome,Own,Male,Yes,Yes,Greater than 5 years,No,English,Yes,Car/truck/Van as DRIVER,Bicycle,"$100,000 to $149,000",College / technical school graduate,No,T6X,35-39
01/11/2018 02:58:00 AM,01/11/2018 03:26:00 AM,Yes,Residential property,I don't recall,,,,,,,,,,,,,Yes,4 Somewhat agree,2 Somewhat disagree,4 Somewhat agree,4 Somewhat agree,5 Strongly agree,5 Strongly agree,Doesn't apply,2 Somewhat disagree,2 Somewhat disagree,1 Strongly disagree,5 Strongly agree,No,,,,,0,0,0,0,1,0,iOS,Tablet,Safari,Own,Female,No,Yes,Greater than 5 years,No,English,Yes,Public Transit,Car/truck/Van as DRIVER,"$150,000 and over",University undergraduate degree,No,T6E,35-39
01/09/2018 06:29:00 PM,01/09/2018 06:42:00 PM,Yes,Residential property,I haven’t contacted the City,,,,,,,,,,,,,Yes,3 Neither agree nor disagree,4 Somewhat agree,3 Neither agree nor disagree,4 Somewhat agree,4 Somewhat agree,4 Somewhat agree,4 Somewhat agree,4 Somewhat agree,3 Neither agree nor disagree,3 Neither agree nor disagree,3 Neither agree nor disagree,No,,,,,0,1,0,0,1,0,Windows,Desktop,Google Chrome,Own,Female,No,Yes,Greater than 5 years,No,English,No,Public Transit,Car/truck/van as PASSENGER,"$80,000 to $99,999",College / technical school graduate,No,T6B,30-34
01/09/2018 07:13:00 PM,01/09/2018 07:23:00 PM,Yes,Residential property,I don't recall,,,,,,,,,,,,,Yes,4 Somewhat agree,3 Neither agree nor disagree,4 Somewhat agree,5 Strongly agree,5 Strongly agree,5 Strongly agree,4 Somewhat agree,4 Somewhat agree,3 Neither agree nor disagree,4 Somewhat agree,4 Somewhat agree,No,,,,,1,1,0,1,0,1,Windows,Desktop,Internet Explorer,Own,Female,Yes,Yes,Greater than 5 years,No,English,Yes,Car/truck/Van as DRIVER,Bicycle,"$150,000 and over",Post-graduate degree,No,T6E,40-44
01/09/2018 08:10:00 PM,01/09/2018 08:18:00 PM,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mac (OS X),Desktop,Safari,Rent,Male,No,Yes,Greater than 5 years,No,English,No,Walk,Car/truck/Van as DRIVER,"$80,000 to $99,999",Post-graduate degree,,T5K,35-39
01/09/2018 10:07:00 PM,01/09/2018 10:18:00 PM,Yes,Residential property,I haven’t contacted the City,,,,,,,,,,,,,Yes,5 Strongly agree,5 Strongly agree,4 Somewhat agree,5 Strongly agree,5 Strongly agree,5 Strongly agree,5 Strongly agree,5 Strongly agree,5 Strongly agree,5 Strongly agree,4 Somewhat agree,No,,,,,1,0,0,0,0,0,Windows,Desktop,Google Chrome,Own,Male,No,Yes,Greater than 5 years,No,English,Yes,Car/truck/Van as DRIVER,Public Transit,"$100,000 to $149,000",University undergraduate degree,,T6J,65-69
01/09/2018 08:44:00 PM,01/09/2018 08:53:00 PM,Yes,Residential property,I haven’t contacted the City,,,,,,,,,,,,,Yes,5 Strongly agree,5 Strongly agree,5 Strongly agree,5 Strongly agree,5 Strongly agree,5 Strongly agree,5 Strongly agree,5 Strongly agree,5 Strongly agree,5 Strongly agree,5 Strongly agree,No,,,,,1,1,0,1,0,1,Windows,Desktop,Google Chrome,Rent,Male,No,Yes,Greater than 5 years,No,English,Yes,Public Transit,Car/truck/van as PASSENGER,"$20,000 to $29,999",College / technical school graduate,No,T6G,25-29
01/09/2018 08:07:00 PM,01/09/2018 08:21:00 PM,Yes,Residential property,I haven’t contacted the City,,,,,,,,,,,,,Yes,3 Neither agree nor disagree,3 Neither agree nor disagree,3 Neither agree nor disagree,3 Neither agree nor disagree,5 Strongly agree,5 Strongly agree,4 Somewhat agree,3 Neither agree nor disagree,2 Somewhat disagree,2 Somewhat disagree,2 Somewhat disagree,No,,,,,0,0,0,1,0,0,Windows,Desktop,Internet Explorer,Own,Male,No,Yes,Greater than 5 years,No,English,Yes,Car/truck/Van as DRIVER,Walk,"$60,000 to $79,999",High school graduate,,T5A,70-74
01/09/2018 07:01:00 PM,01/09/2018 07:09:00 PM,Yes,Residential property,Within the last year,5 Strongly agree,5 Strongly agree,5 Strongly agree,5 Strongly agree,5 Strongly agree,5 Strongly agree,5 Strongly agree,5 Strongly agree,,,Positive,311,Yes,5 Strongly agree,5 Strongly agree,5 Strongly agree,5 Strongly agree,5 Strongly agree,5 Strongly agree,5 Strongly agree,5 Strongly agree,5 Strongly agree,5 Strongly agree,5 Strongly agree,No,,,,,0,0,0,0,1,0,Windows,Desktop,Google Chrome,Own,Female,Yes,Yes,Greater than 5 years,No,French,Yes,Car/truck/Van as DRIVER,Only have one mode of transportation,"$150,000 and over",University undergraduate degree,Yes,T5R,40-44
01/09/2018 07:31:00 PM,01/09/2018 07:44:00 PM,Yes,Residential property,I haven’t contacted the City,,,,,,,,,,,,,Yes,2 Somewhat disagree,4 Somewhat agree,3 Neither agree nor disagree,4 Somewhat agree,2 Somewhat disagree,2 Somewhat disagree,3 Neither agree nor disagree,4 Somewhat agree,4 Somewhat agree,4 Somewhat agree,4 Somewhat agree,No,,,,,1,1,0,1,0,1,Windows,Desktop,Google Chrome,Own,Female,No,Yes,Greater than 5 years,No,English,Yes,Car/truck/Van as DRIVER,Car/truck/van as PASSENGER,"$150,000 and over",College / technical school graduate,No,T6R,30-34
01/09/2018 06:23:00 PM,01/09/2018 06:29:00 PM,Yes,Residential property,I haven’t contacted the City,,,,,,,,,,,,,No,,,,,,,,,,,,No,,,,,1,1,0,0,0,0,Windows,Desktop,Google Chrome,Own,Female,No,Yes,Greater than 5 years,No,English,Yes,Other (Specify),Car/truck/Van as DRIVER,"$100,000 to $149,000",Post-graduate degree,,T5H,30-34
01/13/2018 08:35:00 PM,01/13/2018 08:42:00 PM,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Windows,Desktop,Google Chrome,Own,Male,No,Yes,Greater than 5 years,Yes,English,Yes,Car/truck/Van as DRIVER,Public Transit,"$60,000 to $79,999",University undergraduate degree,No,T6T,25-29
01/09/2018 11:08:00 PM,01/09/2018 11:16:00 PM,Yes,Residential property,I haven’t contacted the City,,,,,,,,,,,,,Yes,3 Neither agree nor disagree,3 Neither agree nor disagree,3 Neither agree nor disagree,2 Somewhat disagree,3 Neither agree nor disagree,3 Neither agree nor disagree,3 Neither agree nor disagree,4 Somewhat agree,4 Somewhat agree,2 Somewhat disagree,3 Neither agree nor disagree,No,,,,,1,0,0,0,0,0,Windows,Desktop,Google Chrome,,Female,No,Yes,,No,English,Yes,Car/truck/Van as DRIVER,Walk,"$100,000 to $149,000",Elementary/grade school graduate,No,,40-44
01/10/2018 03:05:00 AM,01/10/2018 03:10:00 AM,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mac (OS X),Desktop,Google Chrome,Own,Female,,Yes,Greater than 5 years,No,English,Yes,Car/truck/van as PASSENGER,Bicycle,"Under $20,000",Elementary/grade school graduate,,T5M,18-24
01/09/2018 08:00:00 PM,01/09/2018 08:06:00 PM,Yes,Residential property,I haven’t contacted the City,,,,,,,,,,,,,Yes,4 Somewhat agree,4 Somewhat agree,3 Neither agree nor disagree,4 Somewhat agree,4 Somewhat agree,4 Somewhat agree,4 Somewhat agree,3 Neither agree nor disagree,3 Neither agree nor disagree,3 Neither agree nor disagree,3 Neither agree nor disagree,No,,,,,1,0,0,0,1,1,Windows,Desktop,Internet Explorer,Own,Male,No,Yes,Between 1 to 2 years,No,English,Yes,Car/truck/Van as DRIVER,Walk,"$150,000 and over",College / technical school graduate,No,T5A,50-54
01/09/2018 06:32:00 PM,01/09/2018 06:41:00 PM,Yes,Residential property,I haven’t contacted the City,,,,,,,,,,,,,Yes,3 Neither agree nor disagree,3 Neither agree nor disagree,3 Neither agree nor disagree,3 Neither agree nor disagree,4 Somewhat agree,4 Somewhat agree,3 Neither agree nor disagree,3 Neither agree nor disagree,2 Somewhat disagree,3 Neither agree nor disagree,3 Neither agree nor disagree,Yes,3 Neither agree nor disagree,3 Neither agree nor disagree,3 Neither agree nor disagree,3 Neither agree nor disagree,0,0,0,0,0,1,iOS,Tablet,Safari,Own,Female,Yes,Yes,Greater than 5 years,No,English,Yes,Bicycle,Walk,"$60,000 to $79,999",University undergraduate degree,,T6C,40-44
01/15/2018 12:11:00 AM,01/15/2018 12:24:00 AM,Yes,Residential property,I haven’t contacted the City,,,,,,,,,,,,,Yes,3 Neither agree nor disagree,3 Neither agree nor disagree,4 Somewhat agree,5 Strongly agree,5 Strongly agree,5 Strongly agree,5 Strongly agree,4 Somewhat agree,3 Neither agree nor disagree,2 Somewhat disagree,3 Neither agree nor disagree,No,,,,,1,0,0,0,0,0,Windows,Desktop,Internet Explorer,Own,Female,No,Yes,Greater than 5 years,No,English,Yes,Car/truck/Van as DRIVER,Walk,"$80,000 to $99,999",University undergraduate degree,No,T5E,60-64
01/09/2018 06:38:00 PM,01/09/2018 08:38:00 PM,Yes,Residential property,I haven’t contacted the City,,,,,,,,,,,,,Yes,3 Neither agree nor disagree,2 Somewhat disagree,4 Somewhat agree,5 Strongly agree,5 Strongly agree,5 Strongly agree,4 Somewhat agree,4 Somewhat agree,4 Somewhat agree,4 Somewhat agree,4 Somewhat agree,No,,,,,1,0,0,0,0,0,Windows,Desktop,Google Chrome,Own,Male,Yes,Yes,Greater than 5 years,No,English,Yes,Car/truck/Van as DRIVER,Public Transit,"$100,000 to $149,000",Post-graduate degree,Yes,T5R,35-39
01/09/2018 07:03:00 PM,01/09/2018 07:15:00 PM,Yes,Residential property,I haven’t contacted the City,,,,,,,,,,,,,Yes,5 Strongly agree,4 Somewhat agree,4 Somewhat agree,4 Somewhat agree,5 Strongly agree,5 Strongly agree,4 Somewhat agree,4 Somewhat agree,4 Somewhat agree,5 Strongly agree,4 Somewhat agree,No,,,,,0,1,0,0,0,0,iOS,Tablet,Safari,Own,Male,No,Yes,Greater than 5 years,No,English,Yes,Car/truck/Van as DRIVER,Public Transit,Prefer not to answer,University undergraduate degree,,T6R,60-64
01/09/2018 09:45:00 PM,01/09/2018 09:57:00 PM,Yes,Residential property,I haven’t contacted the City,,,,,,,,,,,,,Yes,4 Somewhat agree,3 Neither agree nor disagree,4 Somewhat agree,5 Strongly agree,5 Strongly agree,5 Strongly agree,4 Somewhat agree,3 Neither agree nor disagree,3 Neither agree nor disagree,4 Somewhat agree,4 Somewhat agree,Yes,4 Somewhat agree,4 Somewhat agree,4 Somewhat agree,4 Somewhat agree,1,1,0,0,0,1,Mac (OS X),Desktop,Safari,Own,Male,No,Yes,Greater than 5 years,No,English,Yes,Car/truck/Van as DRIVER,Bicycle,"$150,000 and over",University undergraduate degree,,T6M,60-64
01/14/2018 10:16:00 PM,01/14/2018 10:25:00 PM,Yes,Residential property,I haven’t contacted the City,,,,,,,,,,,,,Yes,4 Somewhat agree,4 Somewhat agree,5 Strongly agree,5 Strongly agree,5 Strongly agree,5 Strongly agree,4 Somewhat agree,4 Somewhat agree,4 Somewhat agree,4 Somewhat agree,4 Somewhat agree,No,,,,,0,1,1,0,0,0,Windows,Desktop,Google Chrome,Own,Female,No,Yes,Greater than 5 years,No,English,Yes,Public Transit,Car/truck/Van as DRIVER,"$150,000 and over",College / technical school graduate,Yes,T6P,60-64
01/11/2018 06:33:00 AM,01/11/2018 07:14:00 AM,Yes,Residential property,I haven’t contacted the City,,,,,,,,,,,,,Yes,3 Neither agree nor disagree,3 Neither agree nor disagree,4 Somewhat agree,3 Neither agree nor disagree,4 Somewhat agree,4 Somewhat agree,4 Somewhat agree,3 Neither agree nor disagree,3 Neither agree nor disagree,4 Somewhat agree,3 Neither agree nor disagree,No,,,,,0,1,0,0,0,0,iOS,Tablet,Safari,Own,Female,No,Yes,Greater than 5 years,No,English,No,Car/truck/Van as DRIVER,Car/truck/van as PASSENGER,"$50,000 to $59,999",High school graduate,,T6C,65-69
01/09/2018 09:07:00 PM,01/09/2018 09:13:00 PM,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,iOS,Phone,Safari,Own,Female,No,Yes,Greater than 5 years,No,English,Yes,Car/truck/van as PASSENGER,Public Transit,"$100,000 to $149,000",High school graduate,,T6L,18-24
01/09/2018 07:31:00 PM,01/09/2018 07:47:00 PM,Yes,Residential property,Within the last year,4 Somewhat agree,4 Somewhat agree,3 Neither agree nor disagree,3 Neither agree nor disagree,3 Neither agree nor disagree,3 Neither agree nor disagree,3 Neither agree nor disagree,2 Somewhat disagree,Immediately while on the phone,,Neutral,I don’t know,Yes,4 Somewhat agree,3 Neither agree nor disagree,3 Neither agree nor disagree,3 Neither agree nor disagree,3 Neither agree nor disagree,3 Neither agree nor disagree,3 Neither agree nor disagree,3 Neither agree nor disagree,3 Neither agree nor disagree,3 Neither agree nor disagree,3 Neither agree nor disagree,No,,,,,1,0,0,0,0,0,Mac (OS X),Desktop,Google Chrome,Own,Male,No,Yes,Greater than 5 years,Yes,English,Yes,Car/truck/Van as DRIVER,Bicycle,"$80,000 to $99,999",University undergraduate degree,No,T6C,30-34
01/10/2018 06:26:00 PM,01/10/2018 06:42:00 PM,Yes,Residential property,I haven’t contacted the City,,,,,,,,,,,,,Yes,5 Strongly agree,4 Somewhat agree,5 Strongly agree,5 Strongly agree,4 Somewhat agree,4 Somewhat agree,4 Somewhat agree,4 Somewhat agree,3 Neither agree nor disagree,3 Neither agree nor disagree,4 Somewhat agree,No,,,,,1,1,0,0,0,0,Windows,Desktop,Google Chrome,Own,Female,No,Yes,Between 1 to 2 years,No,English,No,Car/truck/Van as DRIVER,Car/truck/van as PASSENGER,"$100,000 to $149,000",College / technical school graduate,No,T6J,50-54
01/12/2018 04:52:00 PM,01/12/2018 05:35:00 PM,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Windows,Desktop,Google Chrome,Rent,Female,No,Yes,Greater than 5 years,No,English,No,Other (Specify),Car/truck/van as PASSENGER,"$20,000 to $29,999",College / technical school graduate,,T5M,55-59
01/10/2018 04:53:00 AM,01/10/2018 05:04:00 AM,Yes,Residential property,I haven’t contacted the City,,,,,,,,,,,,,Yes,3 Neither agree nor disagree,4 Somewhat agree,3 Neither agree nor disagree,4 Somewhat agree,5 Strongly agree,5 Strongly agree,4 Somewhat agree,5 Strongly agree,5 Strongly agree,5 Strongly agree,5 Strongly agree,Yes,4 Somewhat agree,4 Somewhat agree,4 Somewhat agree,4 Somewhat agree,1,1,0,0,0,1,Mac (OS X),Desktop,Google Chrome,Own,Female,No,Yes,Greater than 5 years,No,English,Yes,Car/truck/Van as DRIVER,Car/truck/van as PASSENGER,"$80,000 to $99,999",College / technical school graduate,,T6T,60-64
01/15/2018 11:32:00 PM,01/16/2018 04:39:00 PM,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Windows,Desktop,Google Chrome,Rent,Male,No,Yes,Between 3 to 5 years,No,English,Yes,Public Transit,Car/truck/Van as DRIVER,"$80,000 to $99,999",University undergraduate degree,No,T5N,25-29
01/09/2018 07:01:00 PM,01/09/2018 07:15:00 PM,Yes,Residential property,Within the last year,1 Strongly disagree,1 Strongly disagree,1 Strongly disagree,3 Neither agree nor disagree,1 Strongly disagree,1 Strongly disagree,1 Strongly disagree,1 Strongly disagree,Within 3 days,,Negative,City assessor,Yes,1 Strongly disagree,2 Somewhat disagree,1 Strongly disagree,3 Neither agree nor disagree,5 Strongly agree,5 Strongly agree,3 Neither agree nor disagree,1 Strongly disagree,1 Strongly disagree,3 Neither agree nor disagree,3 Neither agree nor disagree,Yes,5 Strongly agree,5 Strongly agree,5 Strongly agree,2 Somewhat disagree,1,1,0,1,0,0,Windows,Desktop,Google Chrome,Own,Female,No,Yes,Between 1 to 2 years,No,English,Yes,Car/truck/Van as DRIVER,Car/truck/van as PASSENGER,"$150,000 and over",College / technical school graduate,No,T6W,45-49
