ResponseDate,CompletionDate,Q1_Property,Q2_PropType,Q3_CityContact,Agreement_City staff treated me fairly and with respect.,Agreement_City staff were knowledgeable.,Agreement_City staff exceeded my expectations.,Agreement_City staff were responsive.,Agreement_I was able to get service without difficulty.,Agreement_I received a response to my inquiry in a timely manner.,Agreement_The response I received provided me with the information I required.,"Agreement_Overall, I was satisfied with the quality of customer service I received.",Timely,Timely_Other (please specify),Experience,Who,Q4_PropNotice,Q5_CommsAgreement_The City’s assessment team provides a valuable public service,Q5_CommsAgreement_The City’s assessment team does a good job assigning property values,Q5_CommsAgreement_The City’s assessment team is a good resource for property information,Q5_CommsAgreement_Property assessment notice is easy to understand,Q5_CommsAgreement_Property assessment notice clearly describes how to file a formal complaint or request a review,Q5_CommsAgreement_Property assessment notice clearly states how to contact the City,Q5_CommsAgreement_Property assessment notice provides all the information required,Q5_CommsAgreement_The assessed value of my property is fair,Q5_CommsAgreement_The assessed value of my property is accurate,Q5_CommsAgreement_The use of sale prices of similar properties to estimate property values is fair,"Q5_CommsAgreement_Overall, I’m satisfied with access to property assessment information",Q7_Online,Q8_OnlineAgreement_It was easy to find information on Edmonton.ca/assessment,Q8_OnlineAgreement_Edmonton.ca/assessment had the information I needed,Q8_OnlineAgreement_Edmonton.ca/assessment is easy to use,Q8_OnlineAgreement_Edmonton.ca/assessment is useful to me,Q10_Contact_Phone,Q10_Contact_Email,Q10_Contact_Text message,Q10_Contact_In person,Q10_Contact_Mail,Q10_Contact_Online service,OSType,DeviceType,BrowserType,Q3_Own_Rent (Source: Profiling Questionnaire 2014),GENDER (Source: Profiling Questionnaire 2014),Q7_Children (Source: Profiling Questionnaire 2014),Q8_Born_Canada (Source: Profiling Questionnaire 2014),Q9a_Edmonton (Source: Profiling Questionnaire 2014),Q10_Own_Business (Source: Profiling Questionnaire 2014),Q11_Home_Language (Source: Profiling Questionnaire 2014),Q13_Volunteer (Source: Profiling Questionnaire 2014),Q14a_Primary_Transportation (Source: Profiling Questionnaire 2014),Q14b_Secondary_Transportation (Source: Profiling Questionnaire 2014),Q15_Household_Income (Source: Profiling Questionnaire 2014),Q16_Education (Source: Profiling Questionnaire 2014),Q17_City_Employee (Source: Profiling Questionnaire 2014),FSA (Source: Profiling Questionnaire 2014),Age_Rollup_Detailed (Source: Profiling Questionnaire 2014)
01/11/2018 12:30:00 AM,01/11/2018 12:49:00 AM,Yes,Residential property,Within the last three years,3 Neither agree nor disagree,4 Somewhat agree,3 Neither agree nor disagree,4 Somewhat agree,4 Somewhat agree,3 Neither agree nor disagree,3 Neither agree nor disagree,4 Somewhat agree,Within 3 days,,Neutral,311,Yes,3 Neither agree nor disagree,4 Somewhat agree,3 Neither agree nor disagree,3 Neither agree nor disagree,4 Somewhat agree,4 Somewhat agree,3 Neither agree nor disagree,3 Neither agree nor disagree,3 Neither agree nor disagree,3 Neither agree nor disagree,3 Neither agree nor disagree,Yes,3 Neither agree nor disagree,4 Somewhat agree,3 Neither agree nor disagree,4 Somewhat agree,0,1,1,0,0,1,Windows,Desktop,Google Chrome,Own,Male,No,Yes,Greater than 5 years,No,English,Yes,Car/truck/Van as DRIVER,Car/truck/van as PASSENGER,"$80,000 to $99,999",University undergraduate degree,,T6R,30-34
01/11/2018 06:16:00 PM,01/11/2018 06:24:00 PM,Yes,Residential property,I haven’t contacted the City,,,,,,,,,,,,,Yes,4 Somewhat agree,2 Somewhat disagree,3 Neither agree nor disagree,3 Neither agree nor disagree,4 Somewhat agree,4 Somewhat agree,4 Somewhat agree,2 Somewhat disagree,2 Somewhat disagree,4 Somewhat agree,3 Neither agree nor disagree,No,,,,,0,1,0,1,0,1,Windows,Desktop,Google Chrome,Own,Male,No,Yes,Greater than 5 years,No,English,No,Car/truck/Van as DRIVER,Walk,"$100,000 to $149,000","Professional school graduate (e.g. medicine, dentistry, veterinary medicine, optometry)",No,T6C,65-69
01/09/2018 06:53:00 PM,01/09/2018 07:00:00 PM,Yes,Residential property,I haven’t contacted the City,,,,,,,,,,,,,Yes,3 Neither agree nor disagree,3 Neither agree nor disagree,3 Neither agree nor disagree,4 Somewhat agree,5 Strongly agree,5 Strongly agree,5 Strongly agree,3 Neither agree nor disagree,3 Neither agree nor disagree,4 Somewhat agree,3 Neither agree nor disagree,No,,,,,0,1,0,0,0,0,Windows,Desktop,Google Chrome,Own,Female,No,Yes,Greater than 5 years,No,English,Yes,Car/truck/Van as DRIVER,Car/truck/van as PASSENGER,"$100,000 to $149,000",University undergraduate degree,No,T6A,35-39
01/10/2018 12:30:00 AM,01/10/2018 01:26:00 AM,Yes,Residential property,I don't recall,,,,,,,,,,,,,Yes,3 Neither agree nor disagree,4 Somewhat agree,4 Somewhat agree,3 Neither agree nor disagree,4 Somewhat agree,4 Somewhat agree,3 Neither agree nor disagree,4 Somewhat agree,4 Somewhat agree,3 Neither agree nor disagree,3 Neither agree nor disagree,No,,,,,1,0,0,1,1,0,iOS,Phone,Safari,Own,Female,No,Yes,Greater than 5 years,Yes,English,Yes,Car/truck/Van as DRIVER,Walk,"$60,000 to $79,999",University undergraduate degree,,T5G,65-69
01/10/2018 05:39:00 PM,01/10/2018 05:56:00 PM,Yes,Residential property,I haven’t contacted the City,,,,,,,,,,,,,Yes,4 Somewhat agree,3 Neither agree nor disagree,2 Somewhat disagree,5 Strongly agree,5 Strongly agree,5 Strongly agree,4 Somewhat agree,4 Somewhat agree,4 Somewhat agree,2 Somewhat disagree,4 Somewhat agree,No,,,,,1,0,0,0,0,0,Windows,Desktop,Internet Explorer,Own,Male,No,Yes,Greater than 5 years,No,English,Yes,Car/truck/Van as DRIVER,Car/truck/van as PASSENGER,"Under $20,000",University undergraduate degree,,T5W,70-74
01/09/2018 10:33:00 PM,01/09/2018 11:18:00 PM,Yes,Residential property,Within the last 3 months,Does not apply,1 Strongly disagree,Does not apply,3 Neither agree nor disagree,1 Strongly disagree,3 Neither agree nor disagree,1 Strongly disagree,1 Strongly disagree,Within the day of first contact,,Negative,I don’t know,Yes,3 Neither agree nor disagree,2 Somewhat disagree,2 Somewhat disagree,2 Somewhat disagree,4 Somewhat agree,4 Somewhat agree,2 Somewhat disagree,1 Strongly disagree,1 Strongly disagree,Doesn't apply,1 Strongly disagree,Yes,1 Strongly disagree,1 Strongly disagree,1 Strongly disagree,1 Strongly disagree,1,1,0,0,1,0,iOS,Tablet,Safari,Own,Female,No,Yes,Greater than 5 years,No,English,Yes,Car/truck/Van as DRIVER,Car/truck/van as PASSENGER,"$100,000 to $149,000",University undergraduate degree,,T6R,70-74
01/14/2018 09:40:00 PM,01/14/2018 09:51:00 PM,Yes,Residential property,I haven’t contacted the City,,,,,,,,,,,,,Yes,3 Neither agree nor disagree,3 Neither agree nor disagree,4 Somewhat agree,4 Somewhat agree,4 Somewhat agree,4 Somewhat agree,3 Neither agree nor disagree,3 Neither agree nor disagree,3 Neither agree nor disagree,4 Somewhat agree,4 Somewhat agree,Yes,4 Somewhat agree,4 Somewhat agree,4 Somewhat agree,4 Somewhat agree,0,1,0,0,0,0,Windows,Desktop,Google Chrome,Own,Male,No,Yes,Greater than 5 years,No,English,Yes,Car/truck/Van as DRIVER,Car/truck/van as PASSENGER,Prefer not to answer,College / technical school graduate,Yes,T6L,55-59
01/12/2018 04:53:00 PM,01/12/2018 05:00:00 PM,Yes,Residential property,I haven’t contacted the City,,,,,,,,,,,,,Yes,4 Somewhat agree,1 Strongly disagree,2 Somewhat disagree,5 Strongly agree,5 Strongly agree,5 Strongly agree,5 Strongly agree,1 Strongly disagree,1 Strongly disagree,1 Strongly disagree,2 Somewhat disagree,No,,,,,1,1,0,1,0,0,Windows,Desktop,Google Chrome,Own,Female,Yes,Yes,Greater than 5 years,No,English,Yes,Walk,Car/truck/van as PASSENGER,"$100,000 to $149,000",Post-graduate degree,No,T5G,35-39
01/10/2018 03:37:00 AM,01/10/2018 03:49:00 AM,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,iOS,Tablet,Safari,Own,Female,No,Yes,Greater than 5 years,No,English,No,Car/truck/Van as DRIVER,Car/truck/van as PASSENGER,Prefer not to answer,High school graduate,,T5E,40-44
01/10/2018 03:18:00 PM,01/10/2018 03:31:00 PM,Yes,Residential property,I haven’t contacted the City,,,,,,,,,,,,,Yes,5 Strongly agree,3 Neither agree nor disagree,3 Neither agree nor disagree,4 Somewhat agree,4 Somewhat agree,5 Strongly agree,3 Neither agree nor disagree,3 Neither agree nor disagree,3 Neither agree nor disagree,4 Somewhat agree,3 Neither agree nor disagree,No,,,,,0,1,0,0,1,0,Windows,Desktop,Google Chrome,Own,Male,No,Yes,Between 1 to 2 years,No,English,Yes,Car/truck/Van as DRIVER,Bicycle,Prefer not to answer,College / technical school graduate,,T5A,55-59
01/10/2018 03:38:00 PM,01/10/2018 03:48:00 PM,Yes,Residential property,I haven’t contacted the City,,,,,,,,,,,,,No,,,,,,,,,,,,No,,,,,1,0,1,1,0,1,Android,Phone,Google Chrome,Rent,Male,No,Yes,Between 1 to 2 years,No,English,Yes,Car/truck/Van as DRIVER,Car/truck/van as PASSENGER,"$60,000 to $79,999",College / technical school graduate,No,T5Y,18-24
01/10/2018 05:11:00 PM,01/10/2018 05:21:00 PM,Yes,Residential property,I haven’t contacted the City,,,,,,,,,,,,,Yes,3 Neither agree nor disagree,3 Neither agree nor disagree,3 Neither agree nor disagree,4 Somewhat agree,3 Neither agree nor disagree,4 Somewhat agree,4 Somewhat agree,3 Neither agree nor disagree,4 Somewhat agree,3 Neither agree nor disagree,3 Neither agree nor disagree,No,,,,,0,0,0,0,1,0,Windows,Desktop,Firefox,Own,Female,No,No,Greater than 5 years,No,English,Yes,Public Transit,Car/truck/van as PASSENGER,"$100,000 to $149,000",University undergraduate degree,No,T5R,25-29
